Avatar Name,Head and Headwear,Eye Brows,Eyewear,Mouth and Facial Hair,Body Clothes and Accesories,Head,Eyebase,Background,Attributes
Long_Face_18_210905_,S5_HH_CrewCut_Black_SkullCap,S5_EB_Normal_Closer,S5_Pupils_Thin_EW_Eyepatch2,S5_Mouth_UhOh_Clean,S5_BCA_ShirtWhite_Open_WhiteSuspenders,S5_Head,S5_EyeBase,S5_BACKGROUND_Plain_Orange,S5_HH_CrewCut_Black_SkullCap_S5_EB_Normal_Closer_S5_Pupils_Thin_EW_Eyepatch2_S5_Mouth_UhOh_Clean_S5_BCA_ShirtWhite_Open_WhiteSuspenders_S5_Head_S5_EyeBase_S5_BACKGROUND_Plain_Orange
Long_Face_21_210905_,S3_HH_Bald_Green_Hat,S3_EB_Normal_Raised,S3_Pupils_Thin_EW_TurtleFrame,S3_Mouth_UhOh_Amish,S3_BCA_Nude_Bling,S3_HEAD,S3_EyeBase,S3_Background_AGP1,S3_HH_Bald_Green_Hat_S3_EB_Normal_Raised_S3_Pupils_Thin_EW_TurtleFrame_S3_Mouth_UhOh_Amish_S3_BCA_Nude_Bling_S3_HEAD_S3_EyeBase_S3_Background_AGP1
Long_Face_22_210905_,S2_HHC_Combover,S2_EB_Normal_Annoyed,S2_Pupils_Dilated_EW_AgentDark,S2_Mouth_Indifferent_FrenchB,S2_BCA_ShirtOffWhite_OrangeBow,S2_Head,S2_EyeBase,S2_BACKGROUND_Broadcast_Teal,S2_HHC_Combover_S2_EB_Normal_Annoyed_S2_Pupils_Dilated_EW_AgentDark_S2_Mouth_Indifferent_FrenchB_S2_BCA_ShirtOffWhite_OrangeBow_S2_Head_S2_EyeBase_S2_BACKGROUND_Broadcast_Teal
Long_Face_23_210905_,S4_HH_Centre_Part_Grey,S4_EB_Thick_Questioning,S4_Pupils_Normal_EW_Sunnies,S4_Mouth_UhOh_Big_Clean,S4_BCA_Nude_Tattoo1,S4_HEAD,S4_EyeBase,S4_Background_OchreLines,S4_HH_Centre_Part_Grey_S4_EB_Thick_Questioning_S4_Pupils_Normal_EW_Sunnies_S4_Mouth_UhOh_Big_Clean_S4_BCA_Nude_Tattoo1_S4_HEAD_S4_EyeBase_S4_Background_OchreLines
Long_Face_24_210905_,S5_HH_Hippie_Ginger_THB,S5_EB_Thick_Cross,S5_Pupils_Dilated_EW_Monocle,S5_Mouth_Indifferent_Bigger_FrenchB,S5_BCA_ShirtBlack_BlueBow,S5_Head,S5_EyeBase,S5_BACKGROUND_Broadcast_Yellow,S5_HH_Hippie_Ginger_THB_S5_EB_Thick_Cross_S5_Pupils_Dilated_EW_Monocle_S5_Mouth_Indifferent_Bigger_FrenchB_S5_BCA_ShirtBlack_BlueBow_S5_Head_S5_EyeBase_S5_BACKGROUND_Broadcast_Yellow
Long_Face_25_210905_,S6_HH_Hippie_Black,S6_EB_Normal_Raised,S6_Eyelids_Languid,S6_Mouth_Perfect_Oh_Manicured,S6_BCA_Nude,S6_Head,S6_EyeBase,S6_BACKGROUND_Japanese2,S6_HH_Hippie_Black_S6_EB_Normal_Raised_S6_Eyelids_Languid_S6_Mouth_Perfect_Oh_Manicured_S6_BCA_Nude_S6_Head_S6_EyeBase_S6_BACKGROUND_Japanese2
Long_Face_27_210905_,S2_HH_CrazyHair_White,S2_EB_Normal_Questioning,S2_Pupils_Normal_EW_Eyepatch2,S2_Mouth_Dismayed_Amish,S2_BCA_Tuxedo_Flower,S2_Head,S2_EyeBase,S2_BACKGROUND_Broadcast_Purple,S2_HH_CrazyHair_White_S2_EB_Normal_Questioning_S2_Pupils_Normal_EW_Eyepatch2_S2_Mouth_Dismayed_Amish_S2_BCA_Tuxedo_Flower_S2_Head_S2_EyeBase_S2_BACKGROUND_Broadcast_Purple
Long_Face_28_210905_,S5_HH_CrewCut_Black,S5_EB_Thick_Raised,S5_Pupils_Thin_EW_BlueFrame,S5_Mouth_Smile_Big_Amish,S5_BCA_Nude_Tattoo1,S5_Head,S5_EyeBase,S5_BACKGROUND_Broadcast_Teal,S5_HH_CrewCut_Black_S5_EB_Thick_Raised_S5_Pupils_Thin_EW_BlueFrame_S5_Mouth_Smile_Big_Amish_S5_BCA_Nude_Tattoo1_S5_Head_S5_EyeBase_S5_BACKGROUND_Broadcast_Teal
Long_Face_29_210905_,S3_HH_CrewCut_Black_SkullCap,S3_EB_Normal_Annoyed,S3_Pupils_Dilated_EW_BlueFrame,S3_Mouth_Annoyance_Big_Clean,S3_BCA_ShirtWhite_Open_WhiteSuspenders,S3_HEAD,S3_EyeBase,S3_BACKGROUND_TechnoGreen,S3_HH_CrewCut_Black_SkullCap_S3_EB_Normal_Annoyed_S3_Pupils_Dilated_EW_BlueFrame_S3_Mouth_Annoyance_Big_Clean_S3_BCA_ShirtWhite_Open_WhiteSuspenders_S3_HEAD_S3_EyeBase_S3_BACKGROUND_TechnoGreen
Long_Face_30_210905_,S5_HH_Hippie_Black_Bowler,S5_EB_Normal_Closer,S5_Pupils_Dilated_EW_AgentDark,S5_Mouth_Perfect_Oh_Clean,S5_BCA_ShirtWhite_Open,S5_Head,S5_EyeBase,S5_BACKGROUND_Broadcast_Emerald,S5_HH_Hippie_Black_Bowler_S5_EB_Normal_Closer_S5_Pupils_Dilated_EW_AgentDark_S5_Mouth_Perfect_Oh_Clean_S5_BCA_ShirtWhite_Open_S5_Head_S5_EyeBase_S5_BACKGROUND_Broadcast_Emerald
Long_Face_31_210905_,S2_HH_Hippie_Black_THB,S2_EB_Normal_Questioning,S2_Pupils_Thin_EW_Eyepatch1,S2_Mouth_Indifferent_Amish,S2_BCA_ShirtWhite_Open_WhiteSuspenders,S2_Head,S2_EyeBase,S2_BACKGROUND_Japanese3,S2_HH_Hippie_Black_THB_S2_EB_Normal_Questioning_S2_Pupils_Thin_EW_Eyepatch1_S2_Mouth_Indifferent_Amish_S2_BCA_ShirtWhite_Open_WhiteSuspenders_S2_Head_S2_EyeBase_S2_BACKGROUND_Japanese3
Long_Face_32_210905_,S3_HH_Hippie_Blond_THB,S3_EB_Thick_SingleRaise,S3_Pupils_Normal_EW_Sunnies,S3_Mouth_Grin_ThinStyle,S3_BCA_ShirtWhite_Open_WhiteSuspenders,S3_HEAD,S3_EyeBase,S3_BACKGROUND_TechnoGreen,S3_HH_Hippie_Blond_THB_S3_EB_Thick_SingleRaise_S3_Pupils_Normal_EW_Sunnies_S3_Mouth_Grin_ThinStyle_S3_BCA_ShirtWhite_Open_WhiteSuspenders_S3_HEAD_S3_EyeBase_S3_BACKGROUND_TechnoGreen
Long_Face_34_210905_,S7_HH_Bald_Pimp_Feather,S7_EB_Normal_Questioning,S7_Pupils_Normal_EW_WireFrame,S7_Mouth_Indifferent_Manicured,S7_BCA_Turtleneck_Blue,S7_HEAD,S7_EyeBase,S7_Background_PinkSilk,S7_HH_Bald_Pimp_Feather_S7_EB_Normal_Questioning_S7_Pupils_Normal_EW_WireFrame_S7_Mouth_Indifferent_Manicured_S7_BCA_Turtleneck_Blue_S7_HEAD_S7_EyeBase_S7_Background_PinkSilk
Long_Face_35_210905_,S5_HH_BuzzCut_Black,S5_EB_Normal_Closer,S5_Pupils_Normal_EW_AgentDark,S5_Mouth_Dismayed_FrenchB,S5_BCA_ShirtWhite_Open,S5_Head,S5_EyeBase,S5_BACKGROUND_Japanese3,S5_HH_BuzzCut_Black_S5_EB_Normal_Closer_S5_Pupils_Normal_EW_AgentDark_S5_Mouth_Dismayed_FrenchB_S5_BCA_ShirtWhite_Open_S5_Head_S5_EyeBase_S5_BACKGROUND_Japanese3
Long_Face_36_210905_,S5_HH_AbsentMinded_White,S5_EB_Thick_Closer,S5_Pupils_Thin_EW_TurtleFrame,S5_Mouth_Grin_Amish,S5_BCA_Thoub,S5_Head,S5_EyeBase,S5_BACKGROUND_Plain_Yellow,S5_HH_AbsentMinded_White_S5_EB_Thick_Closer_S5_Pupils_Thin_EW_TurtleFrame_S5_Mouth_Grin_Amish_S5_BCA_Thoub_S5_Head_S5_EyeBase_S5_BACKGROUND_Plain_Yellow
Long_Face_37_210905_,S2_HH_Bald_Bowler_Orange,S2_EB_Thick_Questioning,S2_Pupils_Dilated_EW_Eyepatch2,S2_Mouth_Grin_FrenchB,S2_BCA_Tuxedo_Flower,S2_Head,S2_EyeBase,S2_BACKGROUND_Chinese,S2_HH_Bald_Bowler_Orange_S2_EB_Thick_Questioning_S2_Pupils_Dilated_EW_Eyepatch2_S2_Mouth_Grin_FrenchB_S2_BCA_Tuxedo_Flower_S2_Head_S2_EyeBase_S2_BACKGROUND_Chinese
Long_Face_38_210905_,S6_HH_Blond_Bouffant_THB,S6_EB_Thick_SingleRaise,S6_Pupils_Dilated_EW_Sunnies,S6_Mouth_Grin_RoundB,S6_BCA_Nude_TattooBling,S6_Head,S6_EyeBase,S6_BACKGROUND_Plain_Yellow,S6_HH_Blond_Bouffant_THB_S6_EB_Thick_SingleRaise_S6_Pupils_Dilated_EW_Sunnies_S6_Mouth_Grin_RoundB_S6_BCA_Nude_TattooBling_S6_Head_S6_EyeBase_S6_BACKGROUND_Plain_Yellow
Long_Face_39_210905_,S3_HH_Bald_SkullCap,S3_EB_Normal_Annoyed,S3_Pupils_Dilated_EW_TurtleFrame,S3_Mouth_UhOh_Clean,S3_BCA_ShirtOffWhite_OrangeBow,S3_HEAD,S3_EyeBase,S3_Background_OchreLines,S3_HH_Bald_SkullCap_S3_EB_Normal_Annoyed_S3_Pupils_Dilated_EW_TurtleFrame_S3_Mouth_UhOh_Clean_S3_BCA_ShirtOffWhite_OrangeBow_S3_HEAD_S3_EyeBase_S3_Background_OchreLines
Long_Face_40_210905_,S6_HH_Hippie_Black_THB,S6_EB_Thick_Questioning,S6_Pupils_Dilated_EW_Base,S6_Mouth_Dismayed_FrenchB,S6_BCA_ShirtWhite_Open_BlueSuspenders,S6_Head,S6_EyeBase,S6_BACKGROUND_Plain_Orange,S6_HH_Hippie_Black_THB_S6_EB_Thick_Questioning_S6_Pupils_Dilated_EW_Base_S6_Mouth_Dismayed_FrenchB_S6_BCA_ShirtWhite_Open_BlueSuspenders_S6_Head_S6_EyeBase_S6_BACKGROUND_Plain_Orange
Long_Face_41_210905_,S4_HH_AbsentMinded_Black,S4_EB_Normal_Questioning,S4_Pupils_Thin_EW_AgentDark,S4_Mouth_Indifferent_Line_Clean,S4_BCA_ShirtWhite_Open,S4_HEAD,S4_EyeBase,S4_Background_AGP2,S4_HH_AbsentMinded_Black_S4_EB_Normal_Questioning_S4_Pupils_Thin_EW_AgentDark_S4_Mouth_Indifferent_Line_Clean_S4_BCA_ShirtWhite_Open_S4_HEAD_S4_EyeBase_S4_Background_AGP2
Long_Face_42_210905_,S6_HHC_Combover,S6_EB_Normal_Raised,S6_Pupils_Dilated_EW_Eyepatch2,S6_Mouth_Smile_Big_Unshaved,S6_BCA_ShirttWhite_PolkaBow,S6_Head,S6_EyeBase,S6_BACKGROUND_Japanese3,S6_HHC_Combover_S6_EB_Normal_Raised_S6_Pupils_Dilated_EW_Eyepatch2_S6_Mouth_Smile_Big_Unshaved_S6_BCA_ShirttWhite_PolkaBow_S6_Head_S6_EyeBase_S6_BACKGROUND_Japanese3
Long_Face_43_210905_,S2_HH_Chic_Part_Ginger_THB,S2_EB_Thick_Closer,S2_Pupils_Normal_EW_Clear,S2_Mouth_Smile_FrenchB,S2_BCA_Tuxedo_Flower,S2_Head,S2_EyeBase,S2_BACKGROUND_Chinese,S2_HH_Chic_Part_Ginger_THB_S2_EB_Thick_Closer_S2_Pupils_Normal_EW_Clear_S2_Mouth_Smile_FrenchB_S2_BCA_Tuxedo_Flower_S2_Head_S2_EyeBase_S2_BACKGROUND_Chinese
Long_Face_44_210905_,S3_HH_Chic_Part_Ginger,S3_EB_Thick_Raised,S3_Pupils_Normal_EW_WireFrame,S3_Mouth_Smile_Big_Clean,S3_BCA_ShirtBlack_OrangeBow,S3_HEAD,S3_EyeBase,S3_BACKGROUND_Broadcast_Teal,S3_HH_Chic_Part_Ginger_S3_EB_Thick_Raised_S3_Pupils_Normal_EW_WireFrame_S3_Mouth_Smile_Big_Clean_S3_BCA_ShirtBlack_OrangeBow_S3_HEAD_S3_EyeBase_S3_BACKGROUND_Broadcast_Teal
Long_Face_45_210905_,S5_HH_Centre_Part_Black_THB,S5_EB_Thick_Raised,S5_Pupils_Thin_EW_WireFrame,S5_Mouth_Dismayed_Clean,S5_BCA_ShirtWhite_Open,S5_Head,S5_EyeBase,S5_BACKGROUND_Japanese3,S5_HH_Centre_Part_Black_THB_S5_EB_Thick_Raised_S5_Pupils_Thin_EW_WireFrame_S5_Mouth_Dismayed_Clean_S5_BCA_ShirtWhite_Open_S5_Head_S5_EyeBase_S5_BACKGROUND_Japanese3
Long_Face_46_210905_,S7_HH_Bald_Pimp_Hat,S7_EB_Normal_Closer,S7_Pupils_Normal_EW_Clear,S7_Mouth_Huge_Smile_Clean,S7_BCA_ShirtBlack_PolkaBow,S7_HEAD,S7_EyeBase,S7_BACKGROUND_Chinese,S7_HH_Bald_Pimp_Hat_S7_EB_Normal_Closer_S7_Pupils_Normal_EW_Clear_S7_Mouth_Huge_Smile_Clean_S7_BCA_ShirtBlack_PolkaBow_S7_HEAD_S7_EyeBase_S7_BACKGROUND_Chinese
Long_Face_48_210905_,S6_HH_AbsentMinded_Black,S6_EB_Thick_Cross,S6_Pupils_Thin_EW_Eyepatch2,S6_Mouth_Smile_Big_FrenchB,S6_BCA_ShirtWhite_Open_WhiteSuspenders,S6_Head,S6_EyeBase,S6_Background_AGP1,S6_HH_AbsentMinded_Black_S6_EB_Thick_Cross_S6_Pupils_Thin_EW_Eyepatch2_S6_Mouth_Smile_Big_FrenchB_S6_BCA_ShirtWhite_Open_WhiteSuspenders_S6_Head_S6_EyeBase_S6_Background_AGP1
Long_Face_49_210905_,S2_HH_CornRows_THB,S2_EB_Normal_Raised,S2_Pupils_Normal_EW_TurtleFrame,S2_Mouth_Indifferent_Clean,S2_BCA_Nude_Tattoo1,S2_Head,S2_EyeBase,S2_BACKGROUND_Japanese3,S2_HH_CornRows_THB_S2_EB_Normal_Raised_S2_Pupils_Normal_EW_TurtleFrame_S2_Mouth_Indifferent_Clean_S2_BCA_Nude_Tattoo1_S2_Head_S2_EyeBase_S2_BACKGROUND_Japanese3
Long_Face_50_210905_,S6_HH_AbsentMinded_Black,S6_EB_Thick_Questioning,S6_Pupils_Normal_EW_Eyepatch1,S6_Mouth_Smile_Big_Unshaved,S6_BCA_Turtleneck_OffWhite_Bling,S6_Head,S6_EyeBase,S6_BACKGROUND_TechnoGreen,S6_HH_AbsentMinded_Black_S6_EB_Thick_Questioning_S6_Pupils_Normal_EW_Eyepatch1_S6_Mouth_Smile_Big_Unshaved_S6_BCA_Turtleneck_OffWhite_Bling_S6_Head_S6_EyeBase_S6_BACKGROUND_TechnoGreen
Long_Face_51_210905_,S2_HH_Chic_Part_Brown,S2_EB_Normal_Closer,S2_Pupils_Thin_EW_TurtleFrame,S2_Mouth_Huge_Frown_Manicured,S2_BCA_Nude_Tattoo1,S2_Head,S2_EyeBase,S2_BACKGROUND_Broadcast_Purple,S2_HH_Chic_Part_Brown_S2_EB_Normal_Closer_S2_Pupils_Thin_EW_TurtleFrame_S2_Mouth_Huge_Frown_Manicured_S2_BCA_Nude_Tattoo1_S2_Head_S2_EyeBase_S2_BACKGROUND_Broadcast_Purple
Long_Face_52_210905_,S4_HH_Sheikh_Headgear,S4_EB_Thick_Raised,S4_Pupils_Normal_EW_AgentDark,S4_Mouth_Huge_Frown_RoundB,S4_BCA_ShirtOffWhite_OrangeBow,S4_HEAD,S4_EyeBase,S4_BACKGROUND_Plain_PINK,S4_HH_Sheikh_Headgear_S4_EB_Thick_Raised_S4_Pupils_Normal_EW_AgentDark_S4_Mouth_Huge_Frown_RoundB_S4_BCA_ShirtOffWhite_OrangeBow_S4_HEAD_S4_EyeBase_S4_BACKGROUND_Plain_PINK
Long_Face_53_210905_,S6_HH_Chic_Part_Brown,S6_EB_Normal_Closer,S6_Pupils_Dilated_EW_Eyepatch2,S6_Mouth_Dismayed_Amish,S6_BCA_Turtleneck_OffWhite,S6_Head,S6_EyeBase,S6_Background_Cracks,S6_HH_Chic_Part_Brown_S6_EB_Normal_Closer_S6_Pupils_Dilated_EW_Eyepatch2_S6_Mouth_Dismayed_Amish_S6_BCA_Turtleneck_OffWhite_S6_Head_S6_EyeBase_S6_Background_Cracks
Long_Face_54_210905_,S3_HH_Sides_White_THB,S3_EB_Normal_Raised,S3_Pupils_Dilated_EW_JustBridge,S3_Mouth_UhOh_Curlies,S3_BCA_ShirttWhite_PolkaBow,S3_HEAD,S3_EyeBase,S3_BACKGROUND_Broadcast_Emerald,S3_HH_Sides_White_THB_S3_EB_Normal_Raised_S3_Pupils_Dilated_EW_JustBridge_S3_Mouth_UhOh_Curlies_S3_BCA_ShirttWhite_PolkaBow_S3_HEAD_S3_EyeBase_S3_BACKGROUND_Broadcast_Emerald
Long_Face_55_210905_,S4_HH_Hippie_Ginger_THB,S4_EB_Thick_SingleRaise,S4_Pupils_Thin_EW_JustBridge,S4_Mouth_UhOh_Big_Clean,S4_BCA_ShirtWhite_Open_BlueSuspenders,S4_HEAD,S4_EyeBase,S4_BACKGROUND_Plain_RED,S4_HH_Hippie_Ginger_THB_S4_EB_Thick_SingleRaise_S4_Pupils_Thin_EW_JustBridge_S4_Mouth_UhOh_Big_Clean_S4_BCA_ShirtWhite_Open_BlueSuspenders_S4_HEAD_S4_EyeBase_S4_BACKGROUND_Plain_RED
Long_Face_57_210905_,S6_HH_Centre_Part_Ginger_THB,S6_EB_Normal_Questioning,S6_Pupils_Dilated_EW_Sunnies,S6_Mouth_Huge_Frown_Unshaved,S6_BCA_ShirtWhite_Open,S6_Head,S6_EyeBase,S6_BACKGROUND_Japanese1,S6_HH_Centre_Part_Ginger_THB_S6_EB_Normal_Questioning_S6_Pupils_Dilated_EW_Sunnies_S6_Mouth_Huge_Frown_Unshaved_S6_BCA_ShirtWhite_Open_S6_Head_S6_EyeBase_S6_BACKGROUND_Japanese1
Long_Face_58_210905_,S4_HH_CrewCut_Blond,S4_EB_Normal_Closer,S4_Eyelids_Languid,S4_Mouth_Smile_Big_FrenchB,S4_BCA_ShirtBlack_BlueBow,S4_HEAD,S4_EyeBase,S4_BACKGROUND_Broadcast_Red,S4_HH_CrewCut_Blond_S4_EB_Normal_Closer_S4_Eyelids_Languid_S4_Mouth_Smile_Big_FrenchB_S4_BCA_ShirtBlack_BlueBow_S4_HEAD_S4_EyeBase_S4_BACKGROUND_Broadcast_Red
Long_Face_59_210905_,S2_HH_Sides_White,S2_EB_Normal_Closer,S2_Pupils_Thin_EW_Sunnies,S2_Mouth_Smile_Big_ThinB,S2_BCA_ShirtBlack_OrangeBow,S2_Head,S2_EyeBase,S2_BACKGROUND_ChineseReversed,S2_HH_Sides_White_S2_EB_Normal_Closer_S2_Pupils_Thin_EW_Sunnies_S2_Mouth_Smile_Big_ThinB_S2_BCA_ShirtBlack_OrangeBow_S2_Head_S2_EyeBase_S2_BACKGROUND_ChineseReversed
Long_Face_62_210905_,S3_HH_Centre_Part_Grey,S3_EB_Thick_SingleRaise,S3_Pupils_Normal_EW_Clear,S3_Mouth_Huge_Frown_RoundB,S3_BCA_Turtleneck_White,S3_HEAD,S3_EyeBase,S3_BACKGROUND_Japanese1,S3_HH_Centre_Part_Grey_S3_EB_Thick_SingleRaise_S3_Pupils_Normal_EW_Clear_S3_Mouth_Huge_Frown_RoundB_S3_BCA_Turtleneck_White_S3_HEAD_S3_EyeBase_S3_BACKGROUND_Japanese1
